"Case.Number","Date.Time.Reported","Earliest.Occurrence","Latest.Occurrence","General.Location","Disposition","Classification","longitude","latitude"
"17-000151","02/08/17 0943",NA,"02/08/17 0943","Armory Building","Open","drug violation",-93.6509474,42.029626
"17-000152","02/08/17 1646",NA,"02/08/17 1646","Martin Hall","Open","harassment",-93.6529424,42.0238665
"17-000152","02/08/17 1646",NA,"02/14/17 1921","Martin Hall","Arrest","harassment",-93.6529424,42.0238665
"17-000152","02/08/17 1646",NA,"02/14/17 1921","Martin Hall","Arrest","extortion",-93.6529424,42.0238665
"17-000154","02/09/17 0133","02/09/17 0133","02/09/17 0133","Chamberlain Street and Welch Avenue","Arrest","public intoxication",-93.6501941,42.0214439
"17-000156","02/09/17 1543",NA,"02/09/17 1543","Friley Hall","Open","theft",-93.65045,42.0239234
"17-000160","02/10/17 0201","02/10/17 0201","02/10/17 0201","Lot 72A","Arrest","operating while intoxicated",-93.6451625,42.022933
"17-000161","02/10/17 0203","02/10/17 0203","02/10/17 0203","Chamberlain Place and Chamberlain Street","Arrest","public intoxication",-93.650953,42.0214521
"17-000164","02/10/17 1428",NA,"02/10/17 1428","Foutainview Apartments","Open","theft",-93.6713803,42.0112352
"17-000165","02/10/17 1558",NA,"02/10/17 1558","Ames Intermodel Facility","Open","theft",-93.6523433,42.0210166
"17-000167","02/11/17 0023","02/11/17 0023","02/11/17 0023","Gateway Hills Park Drive and Mortensen Road","Arrest","operating while intoxicated",-93.649344,42.0118567
"17-000168","02/11/17 0209","02/11/17 0209","02/11/17 0209","Knapp Street and Lynn Avenue","Arrest","public intoxication",-93.6463784,42.019148
"17-000169","02/11/17 0253","02/11/17 0253","02/11/17 0253","Lincoln Way and Sheldon Avenue","Arrest","driving violation",-93.6542392,42.0227224
"17-000170","02/11/17 2021","02/11/17 2021","02/11/17 2021","Hayward Avenue and Knapp Street","Arrest","public intoxication",-93.6517339,42.0191154
"17-000172","02/12/17 0145",NA,"02/12/17 0145","Friley Hall","Open","vandalism",-93.65045,42.0239234
"17-000175","02/12/17 1515",NA,"02/12/17 1515","Armory Building","Open","theft",-93.6509474,42.029626
"17-000176","02/13/17 0036","02/13/17 0036","02/13/17 0036","Mortensen Parkway and University Boulevard","Arrest","drug violation",-93.6393859,42.0083324
"17-000177","02/13/17 1149",NA,"02/13/17 1149","Armory Building","Open","theft",-93.6509474,42.029626
"17-000179","02/13/17 2036",NA,"02/13/17 2036","Armory Building","Open","drug violation",-93.6509474,42.029626
"17-000180","02/14/17 0919",NA,"02/14/17 0919","Armory Building","Open","harassment",-93.6509474,42.029626
"17-000183","02/14/17 1425",NA,"02/14/17 1425","East Campus Parking Deck","Open","harassment",-93.6523433,42.0210166
"17-000184","02/14/17 1515",NA,"02/14/17 1515","Armory Building","Open","theft",-93.6509474,42.029626
"17-000188","02/15/17 0839",NA,"02/15/17 0839","University Village","Open","sexual assault",-93.6441672,42.0427435
"17-000189","02/15/17 1205",NA,"02/15/17 1205","Armory Building","Open","drug violation",-93.6509474,42.029626
"17-000190","02/15/17 1239",NA,"02/15/17 1239","Lot 202F","Open","theft",-93.643886,42.0445397
"17-000192","02/15/17 1633",NA,"02/15/17 1633","Parks Library","Open","theft",-93.6488141,42.0281254
"17-000193","02/15/17 1935",NA,"02/15/17 1935","62 Frederiksen Court","Open","theft",-93.640536,42.0332645
"17-000194","02/16/17 0040","02/16/17 0040","02/16/17 0040","Dickinson Avenue and Mortensen Road","Arrest","operating while intoxicated",-93.6818028,42.0122632
"17-000197","02/16/17 0922","02/16/17 0922","02/16/17 0922","312 S Franklin Avenue","Arrest","drug violation",-93.6644263,42.0187382
"17-000198","02/16/17 1441",NA,"02/16/17 1441","Oak Hall","Open","theft",-93.6399695,42.0251247
"17-000201","02/17/17 0036","02/17/17 0036","02/17/17 0036","Lincoln Way and Welch Road","Arrest","public intoxication",-93.6501393,42.0227328
"17-000200","02/17/17 0054","02/17/17 0054","02/17/17 0054","Hyland Avenue and Lincoln Way","Arrest","public intoxication",-93.6555907,42.0227264
"17-000202","02/17/17 0127","02/17/17 0127","02/17/17 0127","Mayfield Drive and Seagrave Boulevard","Arrest","operating while intoxicated",-93.6715029,42.0112358
"17-000205","02/18/17 0045","02/18/17 0045","02/18/17 0045","Chamberlain Street and Hayward Avenue","Arrest","public intoxication",-93.6517204,42.0214474
"17-000206","02/18/17 0144","02/18/17 0144","02/18/17 0144","Mortensen Parkway and University Boulevard","Arrest","operating while intoxicated",-93.6393859,42.0083324
"17-000208","02/18/17 0223","02/18/17 0223","02/18/17 0223","Memorial Union","Arrest","operating while intoxicated",-93.6459454,42.0236502
"17-000210","02/18/17 0810",NA,"02/18/17 0810","Beyer Hall","Open","vandalism",-93.6529169,42.0259395
"17-000213","02/19/17 0027","02/19/17 0027","02/19/17 0027","Ames Intermodel Facility","Arrest","operating while intoxicated",-93.6523433,42.0210166
"17-000214","02/19/17 0248","02/19/17 0248","02/19/17 0248","122 Hayward Avenue","Arrest","operating while intoxicated",-93.6514721,42.0217397
"17-000215","02/19/17 0417",NA,"02/19/17 0417","Lot 63","Open","theft",-93.6367573,42.0239698
"17-000216","02/19/17 1637",NA,"02/19/17 1637","Lot 201B","Open","vandalism",-93.6429358,42.0421319
"17-000220","02/20/17 0858",NA,"02/20/17 0858","Armory Building","Open","harassment",-93.6509474,42.029626
