"Case.Number","Date.Time.Reported","Earliest.Occurrence","Latest.Occurrence","General.Location","Disposition","Classification","longitude","latitude"
"18-001444","12/03/18 1736",NA,"12/03/18 1736","Lot 35","Open","hit and run",-93.6454805,42.0317614
"18-001443","12/03/18 1623","12/03/18 1445","12/03/18 1520","Black Engineering Building","Recovered","theft",-93.6513617,42.0260459
"18-001441","12/02/18 1204","12/02/18 1204","12/02/18 1204","100 South Sheldon Avenue","Cited","driving violation",-93.6542392,42.0227216
"18-001527","12/02/18 0116","12/02/18 0116","12/02/18 0116","13th Street and Hyland Avenue","Cited","liquor violation",-93.6556846,42.0287518
"18-001439","12/01/18 2257","12/01/18 2257","12/01/18 2257","Buchanan Hall","Cited","alcohol violation",-93.642449,42.022653
"18-001437","12/01/18 0907",NA,NA,"60 Schilletter Village","Open","assault",-93.6434037,42.0440331
"18-001435","12/01/18 0151","12/01/18 0151","12/01/18 0151","Lincoln Way and Stanton Avenue","Arrest","driving violation",-93.6485139,42.0227359
"18-001433","11/30/18 1536","11/16/18 0000","11/25/18 0000","38 Schilletter Village","Open","theft",-93.6417177,42.0446537
"18-001431","11/30/18 1032","11/30/18 1032","11/30/18 1032","Memorial Union","Unfounded","theft",-93.6459454,42.0236502
"18-001430","11/30/18 0416","11/30/18 0416","11/30/18 0416","Garfield Avenue and Ontario Street","Cited","driving violation",NA,NA
"18-001429","11/30/18 0234","11/30/18 0234","11/30/18 0234","Hawthorn Court Drive and Stange Road","Arrest","operating while intoxicated",-93.64473,42.0338708
"18-001428","11/30/18 0230","11/30/18 0230","11/30/18 0230","Hickory Drive and Lincoln Way","Cited","driving violation",-93.6732329,42.0229789
"18-001427","11/29/18 2033","11/29/18 2033","11/29/18 2033","Hayward Avenue and Lincoln Way","Arrest","drug violation",-93.6517059,42.0228461
"18-001425","11/29/18 1618","11/29/18 1618","11/29/18 1618","Welch Hall","Arrest","drug violation",-93.6420811,42.0236532
"18-001424","11/29/18 1358","11/29/18 1300","11/29/18 1330","Lot 112B","Recovered","theft",-93.6435978,42.0324968
"18-001422","11/29/18 1118","11/29/18 1118","11/29/18 1118","Lot 21","Arrest","hit and run",-93.651571,42.0297193
"18-001423","11/29/18 1107",NA,"11/29/18 1107","Friley Hall","Open","harassment",-93.65045,42.0239234
"18-001421","11/29/18 1041","11/27/18 0000","11/27/18 0000","Wilson Hall","Open","fraud",-93.651021,42.0139143
"18-001418","11/27/18 1501",NA,"11/27/18 1501","Various Locations","Open","harassment",NA,NA
"18-001417","11/27/18 0037","11/27/18 0037","11/27/18 0037","Coconino Road and Mortensen Road","Arrest","drug violation",-93.6762975,42.0120724
"18-001414","11/26/18 1158",NA,"11/25/18 2100","Lot 8","Open","theft",-93.6511152,42.0264255
"18-001412","11/26/18 0125","11/26/18 0125","11/26/18 0125","Clemens Boulevard and South Dakota Avenue","Arrest","drug violation",-93.678692,42.0179285
"18-001411","11/25/18 1954","11/25/18 1954","11/25/18 1954","Helser Hall","Arrest","drug violation",-93.6518379,42.02424
"18-001410","11/25/18 0225","11/25/18 0225","11/25/18 0225","Hunt Street and Welch Avenue","Arrest","drug violation",-93.6501239,42.0202787
"18-001409","11/24/18 2131",NA,"11/24/18 2131","Helser Hall","Open","criminal mischief",-93.6518379,42.02424
"18-001407","11/24/18 2122","11/24/18 2122","11/24/18 2122","Lot A4","Cited","alcohol violation",NA,NA
"18-001406","11/24/18 1956","11/24/18 1956","11/24/18 1956","Lot S5","Cited","public intoxication",-93.633969,42.0126321
"18-001405","11/24/18 1756","11/24/18 1756","11/24/18 1756","Lot S5","Cited","alcohol violation",-93.633969,42.0126321
"18-001404","11/24/18 1734","11/24/18 1734","11/24/18 1734","1732-2 South 4th Street","Cited","alcohol violation",-93.6345331,42.0162157
"18-001402","11/24/18 1712","11/24/18 1712","11/24/18 1712","Lot G3","Cited","alcohol violation",-93.6227301,42.0493019
"18-001403","11/24/18 1704","11/24/18 1704","11/24/18 1704","1732-2 South 4th Street","Cited","alcohol violation",-93.6345331,42.0162157
"18-001401","11/24/18 1621","11/24/18 1621","11/24/18 1621","Lot G3","Cited","alcohol violation",-93.6227301,42.0493019
"18-001400","11/24/18 1605","11/24/18 1605","11/24/18 1605","Lot G3","Cited","alcohol violation",-93.6227301,42.0493019
"18-001399","11/24/18 1554","11/24/18 1554","11/24/18 1554","Lot G3","Cited","alcohol violation",-93.6227301,42.0493019
"18-001398","11/24/18 1549","11/24/18 1549","11/24/18 1549","Lot G2","Cited","alcohol violation",-93.6363807,42.010106
"18-001396","11/24/18 0150","11/24/18 0150","11/24/18 0150","Iowa Avenue and Ontario Street","Arrest","operating while intoxicated",NA,NA
"18-001395","11/23/18 1757","11/23/18 1757","11/23/18 1757","13th Street and Duff Avenue","Open","driving violation",-93.610669,42.0345421
"18-001394","11/22/18 2137","11/22/18 2137","11/22/18 2137","Blankenburg Drive and Stange Road","Cited","alcohol violation",-93.6448338,42.0415899
"18-001392","11/21/18 1507","11/21/18 1507","11/21/18 1507","Bruner Drive and Stange Road","Arrest","driving violation",-93.6448075,42.0389323
"18-001390","11/19/18 2019","11/19/18 2019","11/19/18 2019","Franklin Avenue and Lincoln Way","Arrest","driving violation",-93.6647899,42.0228024
"18-001389","11/19/18 1553",NA,"11/12/18 0000","Molecular Biology","Open","fraud",-93.6496746,42.0311093
"18-001388","11/19/18 0016","11/19/18 0016","11/19/18 0016","Lincoln Way and Marshall Avenue","Cited","driving violation",-93.6689375,42.0229021
"18-001386","11/17/18 0035","11/17/18 0035","11/17/18 0035","South Dakota Avenue and Steinbeck Street","Arrest","operating while intoxicated",-93.6786731,42.0145902
"18-001385","11/16/18 2220","11/16/18 2220","11/16/18 2220","Lot 112B","Arrest","driving violation",-93.6435978,42.0324968
"18-001382","11/16/18 0825",NA,NA,"Memorial Union","Open","theft",-93.6459454,42.0236502
"18-001381","11/16/18 0152","11/16/18 0152","11/16/18 0152","Lincoln Way and North Hazel Avenue","Arrest","operating while intoxicated",-93.6267992,42.022851
"18-001380","11/16/18 0041",NA,"11/16/18 0041","Beach Road and Lincoln Way","Open","criminal mischief",-93.6394928,42.0227678
"18-001378","11/15/18 2227","11/15/18 2227","11/15/18 2227","Larch Hall","Arrest","public intoxication",-93.6382868,42.0232779
"18-001377","11/15/18 2040","11/15/18 2040","11/15/18 2040","Linden Hall","Cited","drug violation",-93.6403252,42.0231404
"18-001377","11/15/18 2040","11/15/18 2040","11/15/18 2040","Linden Hall","Cited","alcohol violation",-93.6403252,42.0231404
"18-001374","11/15/18 0220","11/15/18 0220","11/15/18 0220","Hayward Avenue and Lincoln Way","Cited","drug violation",-93.6517059,42.0228461
"18-001373","11/14/18 2100","11/14/18 2100","11/14/18 2100","Knapp Street and Lynn Avenue","Arrest","drug violation",-93.6463784,42.019148
"18-001371","11/14/18 1531","11/13/18 0000","11/13/18 0000","Buchanan Hall","Open","fraud",-93.642449,42.022653
"18-001370","11/14/18 1417","11/14/18 1417","11/14/18 1417","East Campus Parking Deck","Open","hit and run",-93.6523433,42.0210166
"18-001367","11/12/18 2001","11/12/18 2001","11/12/18 2001","Freeman Hall","Arrest","drug violation",-93.6416614,42.0247633
"18-001366","11/12/18 1602","10/26/18 0000","10/26/18 0000","72 Frederiksen Court","Open","sexual assault",-93.6392405,42.0332064
"18-001363","11/12/18 1130","11/06/18 1300","11/11/18 1900","Lagomarcino Hall","Open","theft",-93.6456391,42.0297367
"18-001361","11/12/18 0954","11/09/18 1100","11/11/18 1100","53 Frederiksen Court","Open","theft",-93.6387859,42.033801
