"General.Location","n","longitude","latitude"
"4518 Mortensen Road",1,-93.6795569,42.0110687
"4518 Steinbeck Street",1,-93.6794777,42.0143173
"4530 Mortensen Road",1,-93.6804576,42.0114767
"4625 Steinbeck Street",1,-93.6819357,42.0152806
"4800 Mortensen Road",1,-93.6849459,42.0122875
"4820 Mortensen Road",1,-93.6856592,42.0124965
"4H Building",1,-93.6457421,42.0352482
"50 Schilletter Village",1,-93.6430323,42.0444804
"500 block of Beach Road",1,-93.6390001,42.0266928
"500 block of Bissell Road",1,-93.6518945,42.0282867
"500 block of Morrill Road",1,-93.647952,42.0281923
"500 block of South Riverside Drive",1,-93.6295954,42.0205305
"500 block of State Avenue",1,-93.6590799,42.0184214
"500 block of University B oulevard",1,-93.6322177,42.016952
"516 Welch Avenue",1,-93.6497495,42.017061
"517 Welch Avenue",1,-93.6504227,42.0169624
"56 Schilletter Village",1,NA,NA
"58 Schilletter Village",1,NA,NA
"600 block of Billy Sunday Road",1,NA,NA
"600 block of South 4th Street",1,NA,NA
"61 Schilletter Village",1,NA,NA
"611 Hayward Avenue",1,NA,NA
"611 Kellogg Avenue",1,NA,NA
"612 Stanton Avenue",1,NA,NA
"63 Schilletter Village",1,NA,NA
"636 Lincoln Way",1,NA,NA
"640 Lincoln Way",1,NA,NA
"6th Street",1,NA,NA
"6th Street and North University Boulevard",1,NA,NA
"6th Street and Ridgewood Avenue",1,NA,NA
"700 block of Sandcastle Drive",1,NA,NA
"706 Morrill Road",1,NA,NA
"800 block of East Lincoln Way",1,NA,NA
"800 block of State Avenue",1,NA,NA
"800 block Stange Road",1,NA,NA
"802 SW 3rd Street",1,NA,NA
"808 Hayward Avenue",1,NA,NA
"81 FREDERIKSEN COURT",1,NA,NA
"82 FREDERIKSEN COURT",1,NA,NA
"83 Frederiksen Court",1,NA,NA
"838 Welch Avenue",1,NA,NA
"Administrative Services Building",1,NA,NA
"Agg Avenue and Cessna Street",1,NA,NA
"Agronomy Farm",1,NA,NA
"Agronomy Greenhouse",1,NA,NA
"AGRONOMY HALL",1,NA,NA
"Alcott Avenue and Lincoln Way",1,NA,NA
"Ames Lab",1,NA,NA
"Animal Science Teaching Center",1,NA,NA
"Apple Place and Peach Lane",1,NA,NA
"Applied Science",1,NA,NA
"Applied Sciences Complex",1,NA,NA
"ARBOR ST/S SHELDON AVE",1,NA,NA
"Arbor Street and State Street",1,NA,NA
"Arkansas Avenue and Phoenix Street",1,NA,NA
"Ash Avenue and Ashmore Drive",1,NA,NA
"Ash Avenue and Country Club Boulevard",1,NA,NA
"Ash Avenue and Graeber Street",1,NA,NA
"Ashmore Drive and Beach Avenue",1,NA,NA
"Ashmore Drive and Gaskill Drive",1,NA,NA
"Aspen Road and Kent Avenue",1,NA,NA
"Aspen Road and Stange Road",1,NA,NA
"B/LOT 119",1,NA,NA
"Beach Avenue",1,NA,NA
"Beach Avenue and Friley Road",1,NA,NA
"Beach Avenue and Greeley street",1,NA,NA
"Beach Avenue and Indian Grass Court",1,NA,NA
"Beach Avenue and McCarthy Road",1,NA,NA
"Beach Road",1,NA,NA
"Beach Road and Carrie Lane Court",1,NA,NA
"Bergstrom Facility",1,NA,NA
"Beyer Court and Bissell Road",1,NA,NA
"Big Bluestem Ct. and Mortensen Parkway",1,NA,NA
"Bio Century Research Farm",1,NA,NA
"BIO CENTURY RESEARCH FARM",1,NA,NA
"Bio Renewables Laboratory",1,NA,NA
"Bio-Renewables Lab",1,NA,NA
"Bio-Renewables Laboratory",1,NA,NA
"Bird Manor Apartments",1,NA,NA
"Blankenburg Drive",1,NA,NA
"Bristol Drive and Stange Road",1,NA,NA
"BRUNER DR/STOTTS RD",1,NA,NA
"BUCHANAN HALL",1,NA,NA
"Campus",1,NA,NA
"Campustown",1,NA,NA
"Capp Tim Field",1,NA,NA
"CARVER HALL",1,NA,NA
"Center Drive and Lincoln Way",1,NA,NA
"Center Drive and University Avenue",1,NA,NA
"Center Street and University Boulevard",1,NA,NA
"Cessna Street and Country Club Boulevard",1,NA,NA
"CHAMBERLAIN ST/LYNN AVE",1,NA,NA
"CHAMBERLAIN ST/WELCH AVE",1,NA,NA
"Chamberlain Street and Knapp Avenue",1,NA,NA
"Chamblerlain Place and Chamberlain Street",1,NA,NA
"Chamblerlain Street and Lynn Avenue",1,NA,NA
"Chamerlain Street and Stanton Avenue",1,NA,NA
"Christensen Drive and South 16th Street",1,NA,NA
"Clark Avenue and Main Street",1,NA,NA
"College of Veterinary Medicine",1,NA,NA
"College Shop ISU Farms",1,NA,NA
"Colorado Avenue and Story Street",1,NA,NA
"Coral Drive and South Grand Avenue",1,NA,NA
"Country Club Boulevard and Gaskill Drive",1,NA,NA
"Coy Street and South Franklin Avenue",1,NA,NA
"CROSS COUNTRY COURSE",1,NA,NA
"Cy-ride bus",1,NA,NA
"Cyclone Sports Complex",1,NA,NA
"Cyclone Sports Softball Field",1,NA,NA
"Cyclone Sports Track",1,NA,NA
"CyRide",1,NA,NA
"Dairy Farm",1,NA,NA
"Dartmoor Road and State Avenue",1,NA,NA
"Davidson Hall",1,NA,NA
"Delaware Avenue and Dover Drive",1,NA,NA
"Delaware Avenue and Utah Drive",1,NA,NA
"Dickinson Apartments",1,NA,NA
"Dickinson Avenue and Twain Circle",1,NA,NA
"Dotson Drive and Dotson Place",1,NA,NA
"Dotson Drive and Harris Street",1,NA,NA
"Dotson Drive and Lincoln Way",1,NA,NA
"Dotson Drive and Marigold Drive",1,NA,NA
"E. 13th Street and Mc Cormick Avenue",1,NA,NA
"EAST CAMPUS PARKING DECK",1,NA,NA
"East Side Market",1,NA,NA
"East Side Market - MWL Commons",1,NA,NA
"East Side Market Place",1,NA,NA
"EH&S Services Building",1,NA,NA
"Elm Avenue and Lincoln Way",1,NA,NA
"ELM HALL",1,NA,NA
"Elm Street and Lincoln Way",1,NA,NA
"Enrollment services Center",1,NA,NA
"EQUINE FARM",1,NA,NA
"Farm House Lane and Osborn Drive",1,NA,NA
"Farm House Lane and Wallace Road",1,NA,NA
"Fire Services Training",1,NA,NA
"Fisher Theater",1,NA,NA
"Florida Avenue and Ontario Street",1,NA,NA
"Food Science",1,NA,NA
"Fountainview Apartments",1,NA,NA
"Frederiksen Court Community Center",1,NA,NA
"FREEMAN HALL",1,NA,NA
"Gable Lane",1,NA,NA
"Garfield Avenue and Ontario Street",1,NA,NA
"Garfield Avenue and Ross Road",1,NA,NA
"Gilchrist Street and Lincoln Way",1,NA,NA
"GILMAN HALL",1,NA,NA
"Greensboro Drive and Torrey Pines Road",1,NA,NA
"Haber Road",1,NA,NA
"HAMILTON HALL",1,NA,NA
"HANSEN AG STUDENT LEARNING CENTER",1,NA,NA
"Hartford Drive and Lincoln Way",1,NA,NA
"Haunted Forest Lot",1,NA,NA
"Hawthorne Drive",1,NA,NA
"HAYWARD AVE/HUNT ST",1,NA,NA
"HAYWARD AVE/KNAPP ST",1,NA,NA
"Hayward Avenue and Mortesen Road",1,NA,NA
"Heady Hall",1,NA,NA
"Heathrow Drive and Wessex Drive",1,NA,NA
"Hickory Drive and Westbrook Drive",1,NA,NA
"Highway 169 and 230th Street",1,NA,NA
"Highway 30 and Dayton Road",1,NA,NA
"Highway 30 and State Avenue",1,NA,NA
"Hixson Lied Center",1,NA,NA
"Horse Barn",1,NA,NA
"Horticulture Station",1,NA,NA
"Howard Avenue and West Street",1,NA,NA
"Howard Street and Lincoln Way",1,NA,NA
"HUNT ST/WELCH AVE",1,NA,NA
"Hunt Street and South Sheldon Street",1,NA,NA
"Hyand Avenue and West Street",1,NA,NA
"Hyland Avenue and Sheldon Avenue",1,NA,NA
"Hyland Avenue and Sheldon Street",1,NA,NA
"Industrial Education II",1,NA,NA
"Insectary",1,NA,NA
"Iowa Avenue and Ontario Street",1,NA,NA
"Iowa Circle and Ontario Street",1,NA,NA
"Ironwood Court and University Avenue",1,NA,NA
"ISU Arboretum",1,NA,NA
"ISU C Drive and University Boulevard",1,NA,NA
"ISU Campus",1,NA,NA
"ISU Cemetery",1,NA,NA
"ISU Cross Country Field",1,NA,NA
"ISU Dairy Farm",1,NA,NA
"ISU DAIRY FARM",1,NA,NA
"ISU FAMILY RESOURCE CENTER",1,NA,NA
"ISU Horse Barns",1,NA,NA
"Jacobson Athletic Building",1,NA,NA
"Kent Avenue and Northridge Parkway",1,NA,NA
"KILDEE HALL",1,NA,NA
"Kingsbury Ave",1,NA,NA
"Knapp Storms",1,NA,NA
"Knapp Storms Commons",1,NA,NA
"Knapp Street aqnd Welch Avenue",1,NA,NA
"Knapp-Storms Commons",1,NA,NA
"Knoll",1,NA,NA
"KNOLL",1,NA,NA
"Kooser Road",1,NA,NA
"LAKE LAVERNE",1,NA,NA
"Landscape Architecture",1,NA,NA
"Ledgestone Meadows Mobile Home Park",1,NA,NA
"Liberal Arts Road",1,NA,NA
"Lied Receration Center",1,NA,NA
"Lincoln Way and 230th Street",1,NA,NA
"Lincoln Way and Beach Avenue",1,NA,NA
"Lincoln Way and Camus Avenue",1,NA,NA
"Lincoln Way and McDonald Drive",1,NA,NA
"Lincoln Way and North Elm Avenue",1,NA,NA
"Lincoln Way and North Maple Avenue",1,NA,NA
"Lincoln Way and Riverside Drive",1,NA,NA
"Lincoln Way and South Hazel Avenue",1,NA,NA
"Lincoln Way and South Morrill Road",1,NA,NA
"Lincoln Way and South Oak Street",1,NA,NA
"Lincoln Way and South Riverside Avenue",1,NA,NA
"Lincoln Way and South Walnut Avenue",1,NA,NA
"Lincoln Way and Wilder Boulevard",1,NA,NA
"LINCOLN WAY/HARTFORD DR",1,NA,NA
"LINCOLN WAY/HOWARD AVE",1,NA,NA
"LINCOLN WAY/N UNIVERSITY BLVD",1,NA,NA
"LINCOLN WAY/S HYLAND AVE",1,NA,NA
"LINCOLN WAY/UNION DR",1,NA,NA
"LINCOLN WAY/WELCH RD",1,NA,NA
"Lincolnway and Lynn Avenue",1,NA,NA
"Linoln Way and Welch Avenue",1,NA,NA
"Lloyd Veternary Medical Center",1,NA,NA
"Log S6",1,NA,NA
"Long Road",1,NA,NA
"Lot 11",1,NA,NA
"Lot 111",1,NA,NA
"LOT 112B",1,NA,NA
"LOT 112G",1,NA,NA
"Lot 112K",1,NA,NA
"Lot 11E",1,NA,NA
"Lot 121",1,NA,NA
"LOT 121",1,NA,NA
"Lot 14A",1,NA,NA
"Lot 19",1,NA,NA
"LOT 19",1,NA,NA
"LOT 2",1,NA,NA
"Lot 201",1,NA,NA
"Lot 201D",1,NA,NA
"Lot 201M",1,NA,NA
"Lot 201N",1,NA,NA
"Lot 201P",1,NA,NA
"Lot 202",1,NA,NA
"Lot 202B",1,NA,NA
"Lot 202C",1,NA,NA
"Lot 27",1,NA,NA
"LOT 28",1,NA,NA
"Lot 33",1,NA,NA
"Lot 4",1,NA,NA
"LOT 41",1,NA,NA
"Lot 50A",1,NA,NA
"Lot 54A",1,NA,NA
"Lot 6",1,NA,NA
"Lot 62C",1,NA,NA
"LOT 63",1,NA,NA
"LOT 66",1,NA,NA
"Lot 74",1,NA,NA
"Lot 90",1,NA,NA
"Lot 97",1,NA,NA
"LOT A2",1,NA,NA
"Lot A2 and Center Drive",1,NA,NA
"Lot A4",1,NA,NA
"Lot B2",1,NA,NA
"LOT B3",1,NA,NA
"LOT B5",1,NA,NA
"LOT C1",1,NA,NA
"LOT C5",1,NA,NA
"LOT S8",1,NA,NA
"Lynn Avenue",1,NA,NA
"LYON HALL",1,NA,NA
"MAPLE HALL",1,NA,NA
"Maple Willow Larch Commons",1,NA,NA
"Maricopa Drive and Mayfield Drive",1,NA,NA
"Marshall Avenue and Story Street",1,NA,NA
"Marston Water Tower",1,NA,NA
"Martin hall",1,NA,NA
"Martson Water Tower",1,NA,NA
"Mary Greeley Medical Center",1,NA,NA
"Mayfield Drive",1,NA,NA
"McNab, Kyle",1,NA,NA
"MEMORIAL UNION PARKING RAMP",1,NA,NA
"Michigan Avenue and Ontario Street",1,NA,NA
"Minnesota Avenue and Ontario Street",1,NA,NA
"Morill Hall",1,NA,NA
"Morill Road and Union Drive",1,NA,NA
"MORRILL RD/LINCOLN WAY",1,NA,NA
"Morrill Road",1,NA,NA
"Morrill Road North and Pammel Drive",1,NA,NA
"MORTENSEN PKWY/WELCH RD",1,NA,NA
"MORTENSEN RD/STATE AVE",1,NA,NA
"Mortensen Road and Hayward Avenue",1,NA,NA
"Mortensen Road and Poe Avenue",1,NA,NA
"Mortensen Road and Welch Road",1,NA,NA
"Mortensn Road and State Avenue",1,NA,NA
"MWL Commons",1,NA,NA
"MWL Intramural Fields",1,NA,NA
"N UNIVERSITY BLVD/STANGE RD",1,NA,NA
"Near Lake LaVerne",1,NA,NA
"North Dakota Avenue and Ross Road",1,NA,NA
"North Dakota Avenue and Timber Ridge",1,NA,NA
"North Hazel Avenue and Lincoln Way",1,NA,NA
"North University Boulevard and Stange Road",1,NA,NA
"Northridge Lane and Northridge Parkway",1,NA,NA
"Northridge Parkway and stange Road",1,NA,NA
"Oak-Elm Residence Hall",1,NA,NA
"Oakland Street and Sheldon Avenue",1,NA,NA
"Oakwood Road and State Avenue",1,NA,NA
"Oakwood Road and University Boulevard",1,NA,NA
"Oakwood Road and Wessex Drive",1,NA,NA
"Off Campus",1,NA,NA
"Off-campus",1,NA,NA
"Off-Campus",1,NA,NA
"Old YMCA",1,NA,NA
"On campus - specific location unknown",1,NA,NA
"Ontario Street and Scholl Road",1,NA,NA
"Ontario Street and Woodstock Avenue",1,NA,NA
"OSBORN DR/BISSELL RD",1,NA,NA
"Osborn Drive and Stange Road",1,NA,NA
"Palmer Building",1,NA,NA
"Pammel Drive",1,NA,NA
"Pammel Woods",1,NA,NA
"PEARSON HALL",1,NA,NA
"Piccadilly Square and Clayton Drive",1,NA,NA
"Pierce Avenue and Pierce Circle",1,NA,NA
"Pinon Drive",1,NA,NA
"Plant Introduction Farm",1,NA,NA
"Poultry Science Farm",1,NA,NA
"RCA Intramural Fields",1,NA,NA
"Residence Hall - unknown (reported by CSA)",1,NA,NA
"ROBERTS HALL",1,NA,NA
"Ross Road and Wisconsin Avenue",1,NA,NA
"S HYLAND AVE/ARBOR ST",1,NA,NA
"S SHELDON AVE/ARBOR ST",1,NA,NA
"S. 16th Street and University Boulevard",1,NA,NA
"Schilletter University Community Center",1,NA,NA
"Science I Hall",1,NA,NA
"SE 2nd Street and South Duff Avenue",1,NA,NA
"Seed Science",1,NA,NA
"Sheldon Avenue",1,NA,NA
"Sheldon Avenue and South Hyland Avenue",1,NA,NA
"Small Animal Hospital",1,NA,NA
"South 16th and Christensen Drive",1,NA,NA
"South 16th Street and Creekside Drive",1,NA,NA
"South 16th Street and Mulberry Boulevard",1,NA,NA
"South 2nd Street and South Duff Avenue",1,NA,NA
"South 4th Street and Access to Ball Diamond",1,NA,NA
"South 4th Street and South Grand Avenue",1,NA,NA
"South Campus Storage Facility",1,NA,NA
"South Dakota Avenue and Zumwalt Station Road",1,NA,NA
"South Dayton Avenue and US Highway 30 Ramp",1,NA,NA
"South Duff Avenue",1,NA,NA
"South Grand Avenue and Wave Drive",1,NA,NA
"South Hazel Avenue and Lincoln Way",1,NA,NA
"South Hyland Avenue and Arbor Street",1,NA,NA
"South Hyland Avenue and Lincoln Way",1,NA,NA
"South Wilmoth Avenue and Tripp Street",1,NA,NA
"South Woodruff Farm",1,NA,NA
"Spangler Laboratory",1,NA,NA
"STANGE RD/BLANKENBURG DR",1,NA,NA
"STANGE RD/BRUNER DR",1,NA,NA
"STANGE RD/PAMMEL DR",1,NA,NA
"Stange Road and North University Boulevard",1,NA,NA
"Stange Road and Veenker Drive",1,NA,NA
"Stange Road and Yorkshire Street",1,NA,NA
"State Avenue",1,NA,NA
"STATE GYMNASIUM",1,NA,NA
"STORM ST/WELCH RD",1,NA,NA
"Story Street and Westwood Drive",1,NA,NA
"Student Affairs Road",1,NA,NA
"Sukup Basketball Complex",1,NA,NA
"SW Athletic Complex",1,NA,NA
"The Grove Apartments",1,NA,NA
"The Hub",1,NA,NA
"Tripp Street and South Wilmoth Avenue",1,NA,NA
"Tripp Street and Village Drive",1,NA,NA
"Union Drive and Welch Avenue",1,NA,NA
"University Avenue and Wallace Road",1,NA,NA
"University Boulevard and US Highway 30",1,NA,NA
"University Boulevard and US Hiway 30 Ramp",1,NA,NA
"University West",1,NA,NA
"University West Apartment",1,NA,NA
"US Highway 30",1,NA,NA
"US Highway 30 and 600th Avenue",1,NA,NA
"US Highway 30 West",1,NA,NA
"USDA Greenhouse",1,NA,NA
"UV Laundry",1,NA,NA
"VEENKER DRIVING RANGE SHED",1,NA,NA
"Veenker Maintenance Shed",1,NA,NA
"Veenker Performance Center",1,NA,NA
"Veenker Shelter",1,NA,NA
"VETERINARY MEDICINE",1,NA,NA
"VMRI",1,NA,NA
"Welch Avenue",1,NA,NA
"Welch Avenue and Storm Street",1,NA,NA
"Welch Crown Center",1,NA,NA
"West Street and Woodland Street",1,NA,NA
"Wilhelm Hall",1,NA,NA
"Woodland Street",1,NA,NA
"Zumwalt Station Farm",1,NA,NA
