"General.Location","n","longitude","latitude"
"Lot 89",6,NA,NA
"Mayfield Drive and Seagrave Boulevard",6,-93.6715029,42.0112358
"Morrill Hall",6,-93.648036,42.0272456
"Osborn Drive",6,-93.6463504,42.0288803
"Pearson Avenue and Sunset Drive",6,-93.6427194,42.0206123
"Reiman Gardens",6,-93.6385732,42.0106058
"South 16th Street and Apple Place",6,-93.6266644,42.0085095
"South 4th Street",6,-93.6267181,42.0192005
"South Dakota Avenue and Todd Drive",6,-93.6787042,42.0212118
"Southwest Recreation Complex",6,-93.6571453,42.0163142
"Stange Road and University Boulevard",6,-93.6446613,42.030518
"Town Engineering",6,-93.65265,42.0295468
"Troxel Hall",6,-93.6440411,42.0277898
"University Village Laundry",6,-93.642113,42.041253
"Various Locations",6,NA,NA
NA,6,NA,NA
"100 block of North Sheldon Avenue",5,-93.65443,42.0217676
"1100 block of Duff Avenue",5,-93.6105962,42.032041
"119 STANTON AVE",5,-93.6489377,42.0219747
"200 block of Ash Avenue",5,-93.6440787,42.0212034
"200 block of Campus Avenue",5,-93.6570365,42.0253277
"200 block of Chamberlain Place",5,-93.6481878,42.0212295
"2200 block of Lincoln Way",5,-93.644527,42.0226921
"2800 block of Lincoln Way",5,-93.6556634,42.0225705
"3300 block of Lincoln Way",5,-93.6615998,42.0227611
"42 Frederiksen Court",5,-93.6422748,42.0332422
"6th Street and University Boulevard",5,-93.633501,42.027804
"72 Frederiksen Court",5,-93.6392405,42.0332064
"Ash Avenue and Storm Street",5,-93.6443375,42.0161236
"Beach Avenue and Center Drive",5,-93.6394539,42.0195934
"Blankenburg Drive and Stange Road",5,-93.6448338,42.0415899
"Carrie Lane Court",5,-93.6418517,42.0244726
"Delaware Avenue and North Dakota Avenue",5,-93.6788195,42.0279736
"Disc Golf Course",5,-93.6385639,42.0358248
"Elings Hall",5,-93.6526658,42.0274371
"Gateway Hills Park Drive and Mortensen Parkway",5,-93.649344,42.0118567
"Gateway Hills Park Drive and Mortensen Road",5,-93.649344,42.0118567
"Haber Road and North University Boulevard",5,-93.6387948,42.0299502
"Hach Hall",5,-93.6496834,42.0301324
"Intermodal Facility",5,-93.6523433,42.0210166
"Ironwood Court and University Boulevard",5,-93.6393197,42.0058418
"Legacy Tower",5,-93.6489377,42.0219747
"Lettie Street and Manning Avenue",5,-93.6598559,42.021492
"Little Bluestem Court and Mortensen Parkway",5,-93.6455416,42.0094264
"Lot 112C",5,-93.6422034,42.0323555
"Lot 112G",5,-93.6395589,42.0340924
"Lot 23",5,-93.6502695,42.0296777
"Lot 25",5,-93.6492324,42.0297276
"Lot 28",5,-93.6495783,42.0319068
"Lot 36",5,-93.6467188,42.0297736
"Lot 38",5,NA,NA
"Lot 54",5,NA,NA
"Lot 67",5,-93.6408776,42.0251136
"Lot 72A",5,-93.6451625,42.022933
"Lot 93",5,-93.6346687,42.0080731
"Lot D3",5,-93.6332267,42.0177403
"MEMORIAL UNION",5,-93.6459454,42.0236502
"Morrill Road and Pammel Drive",5,-93.6479589,42.0305165
"North University Boulevard and Wallace Road",5,-93.6415414,42.0305048
"Osborn Drive and Wallace Road",5,-93.6415098,42.0288854
"Pammel Drive and Winlock Road",5,-93.6459659,42.0305128
"South Franklin Avenue and Tripp Street",5,-93.6647488,42.0201257
"State Avenue and Wood Street",5,-93.6591259,42.0221357
"Sukup Hall",5,-93.6532914,42.0276286
"100 block Welch Avenue",4,-93.6501392,42.02272
"106 University Village",4,-93.6432883,42.0395243
"13th Street and Crescent Street",4,-93.6287633,42.0353829
"171 University Village",4,-93.643191,42.0420562
"1732-2 S. 4th Street",4,-93.6345331,42.0162157
"200 block of Hyland Avenue",4,-93.6556457,42.0253446
"2129 Hawthorn Court Drive",4,-93.6429145,42.0339213
"223 Welch Avenue",4,-93.6504623,42.0204388
"2300 block of Knapp Street",4,-93.6463997,42.0191478
"2300 block of Storm Street",4,-93.6463782,42.0161188
"24 Frederiksen Court",4,-93.6435922,42.0327685
"2500 block of Knapp Street",4,-93.6500882,42.0191138
"2500 block of Lincoln Way",4,-93.6506776,42.0223672
"2508 Mortensen Road",4,-93.6502665,42.0110798
"2519 Chamberlain Street",4,-93.651538,42.021589
"2532 Union Drive",4,-93.6513638,42.0253616
"3800 Lincoln Way",4,-93.669771,42.0216985
"3920 Maricopa Drive",4,-93.6701672,42.0080064
"4100 block of Maricopa Drive",4,-93.6721876,42.0082125
"4130 Maricopa Drive",4,-93.6726793,42.0077565
"4510 Mortensen Road",4,-93.6797113,42.0116104
"4912 Mortensen Road",4,-93.6874795,42.012714
"53 Frederiksen Court",4,-93.6387859,42.033801
"71 Frederiksen Court",4,-93.6398095,42.0330842
"Beach Avenue and Kildee Street",4,-93.6394261,42.0175974
"Bissell Road",4,-93.6518972,42.0277214
"Clemens Boulevard and South Dakota Avenue",4,-93.678692,42.0179285
"Dickinson Avenue and Mortensen Road",4,-93.6818028,42.0122632
"Enrollment Services Center",4,-93.6491504,42.0251021
"Forest Hills Drive and Hyland Avenue",4,-93.6556793,42.0305867
"FRILEY HALL",4,-93.65045,42.0239234
"Gateway Hills Park Drive",4,-93.6493279,42.010354
"General Services Building",4,-93.6410964,42.0280642
